target,setsize,dyn,resp,rt,sub,reward,correct
Present,16,Static,1,1.1191243496578,1,Absent,1
Absent,8,Static,2,0.879360443084806,1,Absent,1
Absent,12,Dynamic,2,2.04836871334737,1,Absent,1
Present,8,Dynamic,1,2.07832411909294,1,Absent,1
Present,16,Dynamic,2,3.28732322690666,1,Absent,0
Absent,16,Dynamic,2,2.44801690140957,1,Absent,1
Absent,8,Dynamic,2,3.66703019397391,1,Absent,1
Present,8,Dynamic,1,1.21904062954127,1,Absent,1
Present,8,Dynamic,1,2.01839476216628,1,Absent,1
Absent,8,Dynamic,2,4.20655944062855,1,Absent,1
Absent,16,Dynamic,2,2.98759695754597,1,Absent,1
Absent,12,Dynamic,2,1.9484626685371,1,Absent,1
Present,8,Dynamic,1,2.16824795248431,1,Absent,1
Absent,12,Dynamic,2,2.04835664878919,1,Absent,1
Present,16,Dynamic,1,2.04834995739657,1,Absent,1
Absent,16,Dynamic,2,1.42887333467115,1,Absent,1
Absent,16,Dynamic,2,1.85852812891608,1,Absent,1
Absent,8,Dynamic,-1,4.99546913939048,1,Absent,0
Present,12,Dynamic,1,1.47883399829516,1,Absent,1
Present,16,Dynamic,2,1.79856152072534,1,Absent,0
Absent,12,Dynamic,2,1.81854267455128,1,Absent,1
Absent,12,Dynamic,2,2.09830610997051,1,Absent,1
Present,12,Dynamic,1,0.659508470753281,1,Absent,1
Present,12,Dynamic,1,0.909316495413805,1,Absent,1
Absent,8,Dynamic,2,1.89848981504838,1,Absent,1
Absent,8,Dynamic,2,2.72780447095465,1,Absent,1
Present,16,Dynamic,1,2.36810151871941,1,Absent,1
Absent,16,Dynamic,2,1.91848869730893,1,Absent,1
Present,12,Dynamic,1,1.54878374517648,1,Absent,1
Present,8,Dynamic,1,0.719503538670324,1,Absent,1
Present,16,Dynamic,1,0.619562447996941,1,Absent,1
Present,12,Dynamic,1,0.679493489047672,1,Absent,1
Present,8,Static,1,0.639534735100824,1,Absent,1
Present,8,Static,1,0.589568302340922,1,Absent,1
Absent,8,Static,2,1.21905831286676,1,Absent,1
Absent,16,Static,2,1.48885556112509,1,Absent,1
Absent,16,Static,2,1.4388689639618,1,Absent,1
Present,16,Static,1,0.559590356373519,1,Absent,1
Absent,12,Static,2,1.47881942759705,1,Absent,1
Absent,12,Static,2,1.42887003659052,1,Absent,1
Absent,16,Static,2,1.23902693098171,1,Absent,1
Absent,8,Static,2,1.18906648288248,1,Absent,1
Absent,16,Static,2,1.36891589895095,1,Absent,1
Present,12,Static,1,1.03920125307013,1,Absent,1
Absent,12,Static,2,1.74860144353806,1,Absent,1
Present,8,Static,1,0.789402621421686,1,Absent,1
Absent,16,Static,2,1.45884963661047,1,Absent,1
Absent,8,Static,2,0.82937009172565,1,Absent,1
Present,16,Static,1,0.659496476368076,1,Absent,1
Absent,12,Static,2,0.899314154679814,1,Absent,1
Absent,12,Static,2,1.03917870783516,1,Absent,1
Present,8,Static,1,0.729443576763515,1,Absent,1
Present,8,Static,1,0.90929884216348,1,Absent,1
Present,12,Static,1,1.56874417322433,1,Absent,1
Present,12,Static,1,0.809420154377221,1,Absent,1
Present,12,Static,1,0.999218430153633,1,Absent,1
Present,16,Static,1,1.38890917247409,1,Absent,1
Absent,8,Static,2,1.96840565385355,1,Absent,1
Present,16,Static,1,0.919280767880991,1,Absent,1
Absent,8,Static,2,1.06916304947117,1,Absent,1
Present,12,Static,1,1.11910819507648,1,Absent,1
Present,16,Static,1,0.959245606736658,1,Absent,1
Absent,12,Dynamic,2,3.09748817101899,1,Absent,1
Absent,8,Dynamic,2,1.84851955290469,1,Absent,1
Absent,8,Dynamic,2,1.66867970026578,1,Absent,1
Present,16,Dynamic,2,2.98758251716572,1,Absent,0
Absent,12,Dynamic,2,2.6278658663723,1,Absent,1
Present,12,Dynamic,1,0.599559445641717,1,Absent,1
Present,16,Dynamic,1,0.709455235328278,1,Absent,1
Absent,12,Dynamic,1,1.46882703122719,1,Absent,0
Present,12,Dynamic,1,1.26900247105368,1,Absent,1
Absent,8,Dynamic,2,2.02839440128264,1,Absent,1
Absent,12,Dynamic,2,2.96761087664709,1,Absent,1
Absent,16,Dynamic,2,3.19741851034996,1,Absent,1
Present,8,Dynamic,1,0.989210585934416,1,Absent,1
Present,16,Dynamic,1,1.50880490201052,1,Absent,1
Absent,8,Dynamic,2,3.16743561225121,1,Absent,1
Present,12,Dynamic,1,1.69864661921747,1,Absent,1
Present,8,Dynamic,1,0.779400225552308,1,Absent,1
Present,16,Dynamic,1,0.429710651094865,1,Absent,1
Absent,16,Dynamic,2,1.80858371008981,1,Absent,1
Present,8,Dynamic,1,1.13915904466012,1,Absent,1
Present,12,Dynamic,1,2.82772100646616,1,Absent,1
Absent,12,Dynamic,2,2.03836661320202,1,Absent,1
Absent,16,Dynamic,2,1.56877376572629,1,Absent,1
Absent,8,Dynamic,2,1.66868141446685,1,Absent,1
Absent,16,Dynamic,2,2.27816849781993,1,Absent,1
Present,12,Dynamic,1,0.579575525036489,1,Absent,1
Present,8,Dynamic,1,1.22905491955316,1,Absent,1
Present,16,Dynamic,1,1.95845151120193,1,Absent,1
Absent,16,Dynamic,2,1.9384613152215,1,Absent,1
Present,8,Dynamic,1,1.18906601172785,1,Absent,1
Present,12,Dynamic,1,1.7985608891795,1,Absent,1
Present,12,Dynamic,1,0.929268683274131,1,Absent,1
Absent,12,Dynamic,2,1.38891573856017,1,Absent,1
Present,12,Dynamic,2,2.9875842915153,1,Absent,0
Present,16,Dynamic,2,2.25818527392221,1,Absent,0
Present,8,Dynamic,1,1.57876660819056,1,Absent,1
Absent,12,Dynamic,2,2.07834027868194,1,Absent,1
Absent,16,Dynamic,2,2.18823587288898,1,Absent,1
Absent,8,Dynamic,2,3.0874966217234,1,Absent,1
Present,16,Dynamic,-1,4.99544974687888,1,Absent,0
Absent,12,Dynamic,2,1.56877271815938,1,Absent,1
Absent,12,Dynamic,1,2.51798033682644,1,Absent,0
Absent,16,Dynamic,2,2.55792522179217,1,Absent,1
Present,16,Dynamic,1,1.23903686030644,1,Absent,1
Absent,16,Dynamic,2,2.23820288707248,1,Absent,1
Present,8,Dynamic,1,1.71865003759194,1,Absent,1
Present,12,Dynamic,1,0.65950976392196,1,Absent,1
Absent,8,Dynamic,2,2.7777654704023,1,Absent,1
Absent,16,Dynamic,2,2.2181992130736,1,Absent,1
Absent,8,Dynamic,2,1.79855584181314,1,Absent,1
Absent,16,Dynamic,2,1.87852499122891,1,Absent,1
Present,8,Dynamic,1,1.62869836098434,1,Absent,1
Absent,12,Dynamic,2,1.50880145356132,1,Absent,1
Present,16,Dynamic,1,1.83852798857333,1,Absent,1
Absent,8,Dynamic,2,2.058366603178,1,Absent,1
Present,8,Dynamic,1,1.4888141095671,1,Absent,1
Present,12,Dynamic,1,0.799376367098375,1,Absent,1
Present,16,Dynamic,1,1.48881032028476,1,Absent,1
Absent,8,Dynamic,1,1.24900996942415,1,Absent,0
Present,8,Dynamic,1,0.829365685931407,1,Absent,1
Absent,12,Dynamic,2,2.13826879855696,1,Absent,1
Absent,12,Dynamic,2,1.70873733647568,1,Absent,1
Present,16,Dynamic,1,0.799389634605177,1,Absent,1
Absent,16,Dynamic,2,1.51879182998346,1,Absent,1
Absent,16,Dynamic,2,1.38888878251782,1,Absent,1
Absent,8,Dynamic,2,2.43805394215815,1,Absent,1
Absent,12,Dynamic,2,2.43802823417354,1,Absent,1
Absent,8,Dynamic,2,2.68783869480103,1,Absent,1
Absent,16,Dynamic,2,2.77775809232662,1,Absent,1
Present,8,Dynamic,1,0.909279123852684,1,Absent,1
Present,12,Dynamic,1,0.539592251016074,1,Absent,1
Absent,12,Dynamic,2,1.64872158287653,1,Absent,1
Absent,16,Dynamic,2,2.33810971881212,1,Absent,1
Absent,12,Dynamic,2,2.3581042855003,1,Absent,1
Absent,8,Dynamic,2,1.56875071926152,1,Absent,1
Present,8,Dynamic,1,1.71864150167858,1,Absent,1
Present,12,Dynamic,1,1.87849160944279,1,Absent,1
Absent,8,Dynamic,2,2.42803551701763,1,Absent,1
Present,8,Dynamic,1,1.63867926419698,1,Absent,1
Absent,16,Dynamic,2,3.4372183850428,1,Absent,1
Present,8,Dynamic,1,0.959246228259872,1,Absent,1
Present,12,Dynamic,1,1.02918586035776,1,Absent,1
Present,12,Dynamic,1,0.819350087715065,1,Absent,1
Present,16,Dynamic,1,1.04917355019825,1,Absent,1
Present,16,Dynamic,1,0.939267344996551,1,Absent,1
Absent,8,Dynamic,2,2.88766274873524,1,Absent,1
Present,16,Dynamic,1,0.77942357275424,1,Absent,1
Present,8,Dynamic,1,1.03921274622917,1,Absent,1
Present,16,Dynamic,1,1.16907034233918,1,Absent,1
Present,12,Dynamic,1,0.939259585986292,1,Absent,1
Present,8,Dynamic,1,1.15908275274342,1,Absent,1
Present,12,Dynamic,1,2.27820246102965,1,Absent,1
Absent,8,Dynamic,2,2.45803912084557,1,Absent,1
Absent,12,Dynamic,2,2.18825726028808,1,Absent,1
Present,8,Dynamic,1,0.659500100246078,1,Absent,1
Present,16,Dynamic,1,1.70866354067402,1,Absent,1
Present,16,Dynamic,1,2.40810579419485,1,Absent,1
Absent,12,Dynamic,2,2.35809243145741,1,Absent,1
Present,16,Dynamic,1,0.969262683574925,1,Absent,1
Absent,12,Dynamic,2,2.02838536915442,1,Absent,1
Present,12,Dynamic,1,1.48881141797392,1,Absent,1
Present,8,Dynamic,1,0.729452448498705,1,Absent,1
Present,12,Dynamic,1,1.06918702320581,1,Absent,1
Absent,16,Dynamic,2,2.17825800210449,1,Absent,1
Present,16,Dynamic,1,0.849352458524663,1,Absent,1
Absent,8,Dynamic,2,2.56792963761291,1,Absent,1
Absent,16,Dynamic,2,1.42888036689874,1,Absent,1
Absent,8,Dynamic,2,1.87851744774707,1,Absent,1
Present,12,Dynamic,1,1.39887756002099,1,Absent,1
Present,16,Dynamic,1,3.42722959250204,1,Absent,1
Absent,12,Dynamic,2,2.26817263295015,1,Absent,1
Absent,16,Dynamic,2,2.38806422735797,1,Absent,1
Absent,16,Dynamic,2,1.48881934740166,1,Absent,1
Absent,8,Dynamic,2,1.13912490100847,1,Absent,1
Present,8,Dynamic,1,0.709470176934701,1,Absent,1
Absent,12,Dynamic,2,1.78856565585738,1,Absent,1
Absent,16,Dynamic,2,1.59872358779103,1,Absent,1
Present,12,Dynamic,1,1.39891077138964,1,Absent,1
Absent,8,Dynamic,2,2.53795241341322,1,Absent,1
Present,8,Dynamic,1,1.54875507493307,1,Absent,1
Present,16,Static,1,0.959244133126049,1,Absent,1
Absent,8,Static,2,1.0491724575204,1,Absent,1
Absent,16,Static,2,1.60871569344818,1,Absent,1
Present,12,Static,1,0.669487905368442,1,Absent,1
Present,16,Static,1,0.719444373715305,1,Absent,1
Absent,16,Static,2,1.0891560172422,1,Absent,1
Absent,8,Static,2,0.819358593553261,1,Absent,1
Absent,8,Static,2,0.689460543329915,1,Absent,1
Absent,8,Static,2,0.909313112124437,1,Absent,1
Present,12,Static,1,0.699469269711699,1,Absent,1
Absent,16,Static,2,1.60878531903109,1,Absent,1
Absent,16,Static,2,1.27898804069991,1,Absent,1
