target,setsize,location,dyn,resp,rt,sub,exp,correct
Present,12,3,Static,1,0.560777898926062,1,4,1
Absent,12,4,Static,2,0.980858383511986,1,4,1
Absent,8,3,Static,2,0.590804882612247,1,4,1
Present,8,4,Static,1,0.620798514364651,1,4,1
Present,12,4,Static,1,0.680805902775319,1,4,1
Present,16,4,Static,1,0.760819426530361,1,4,1
Absent,8,1,Static,2,0.560745432157091,1,4,1
Present,16,1,Static,1,1.01081887919099,1,4,1
Present,12,1,Dynamic,1,0.950884169267738,1,4,1
Present,12,4,Dynamic,1,0.590791344489844,1,4,1
Absent,16,2,Dynamic,2,1.18085567254548,1,4,1
Present,16,2,Dynamic,1,1.97092576604155,1,4,1
Present,16,1,Dynamic,1,1.04083192878534,1,4,1
Absent,12,3,Dynamic,2,0.860838093869461,1,4,1
Present,16,4,Dynamic,1,0.640799244818481,1,4,1
Absent,12,2,Dynamic,2,0.750839483936943,1,4,1
Present,8,4,Dynamic,1,0.580759289395246,1,4,1
Absent,12,4,Dynamic,2,0.700801956452779,1,4,1
Absent,8,3,Dynamic,2,0.640781774407515,1,4,1
Present,8,4,Dynamic,1,0.55082407523787,1,4,1
Absent,16,3,Dynamic,2,0.820811076099744,1,4,1
Absent,8,3,Dynamic,2,0.670828636396436,1,4,1
Absent,12,2,Dynamic,2,0.71082254081648,1,4,1
Present,12,1,Dynamic,1,0.94082197777243,1,4,1
Absent,12,1,Dynamic,2,0.670787338020091,1,4,1
Absent,16,4,Dynamic,2,0.690794225538411,1,4,1
Present,8,2,Dynamic,1,0.830819550834349,1,4,1
Present,12,3,Dynamic,1,0.630795997541099,1,4,1
Absent,8,4,Dynamic,2,0.730828240762094,1,4,1
Absent,8,2,Dynamic,2,0.670814677578164,1,4,1
Present,12,2,Dynamic,1,0.790804577866766,1,4,1
Present,8,1,Dynamic,1,0.650801138452152,1,4,1
Present,16,3,Dynamic,1,0.590853085549497,1,4,1
Present,8,1,Dynamic,1,0.510802230456648,1,4,1
Absent,8,2,Dynamic,2,0.91083440049988,1,4,1
Absent,16,1,Dynamic,2,0.790831972225533,1,4,1
Absent,16,2,Dynamic,1,0.880841613146913,1,4,0
Present,16,3,Dynamic,1,0.540789982824208,1,4,1
Absent,16,3,Dynamic,2,1.03089218187142,1,4,1
Present,16,1,Dynamic,1,0.600819186609442,1,4,1
Present,12,3,Dynamic,1,0.550793077061826,1,4,1
Absent,16,1,Dynamic,2,2.24103205843676,1,4,1
Absent,16,4,Dynamic,2,1.0208517566316,1,4,1
Absent,12,4,Dynamic,2,1.01084522632027,1,4,1
Absent,12,3,Dynamic,2,0.74081593732717,1,4,1
Absent,8,1,Dynamic,2,1.27083472897084,1,4,1
Absent,8,4,Dynamic,2,0.980805554256222,1,4,1
Present,16,4,Dynamic,1,0.550818003047425,1,4,1
Present,12,2,Dynamic,1,0.890820415616872,1,4,1
Absent,8,1,Dynamic,2,1.03084863031563,1,4,1
Absent,12,1,Dynamic,2,0.840829968322396,1,4,1
