target,setsize,location,dyn,resp,rt,sub,exp,correct
Absent,12,2,Dynamic,2,1.51089883347231,4,4,1
Absent,8,2,Dynamic,2,1.43092146232084,4,4,1
Present,8,4,Dynamic,1,0.970835447964419,4,4,1
Absent,8,4,Dynamic,2,1.41091986673928,4,4,1
Absent,12,4,Dynamic,1,1.5709252332399,4,4,0
Present,16,3,Dynamic,1,1.50089406610823,4,4,1
Present,12,2,Dynamic,1,1.5008997724417,4,4,1
Present,16,3,Dynamic,1,0.800868609989266,4,4,1
Present,16,4,Dynamic,1,1.2208415285495,4,4,1
Absent,16,4,Dynamic,2,1.80093320947344,4,4,1
Present,12,3,Dynamic,1,1.25089419776668,4,4,1
Present,8,3,Dynamic,1,0.640789971395861,4,4,1
Absent,8,3,Dynamic,2,1.35089600319407,4,4,1
Absent,12,3,Dynamic,1,1.1108736660608,4,4,0
Present,16,2,Dynamic,1,2.89109580671175,4,4,1
Absent,12,4,Dynamic,2,2.55106499010981,4,4,1
Present,12,1,Dynamic,1,0.790795587841785,4,4,1
Present,8,4,Dynamic,1,1.05096370428691,4,4,1
Absent,16,3,Dynamic,2,1.74098348281223,4,4,1
Absent,8,2,Dynamic,2,1.03083428009995,4,4,1
Present,12,3,Static,1,1.5509024028961,4,4,1
Present,16,2,Static,1,0.620827717331849,4,4,1
Present,16,1,Static,1,1.43090629009748,4,4,1
Present,12,2,Static,1,0.660807591289995,4,4,1
Absent,16,2,Static,2,1.26084456967874,4,4,1
Absent,8,3,Static,2,0.790841750762411,4,4,1
Present,12,2,Static,1,0.63083538180399,4,4,1
Absent,8,2,Static,2,0.700777718669997,4,4,1
Present,8,2,Static,1,0.490848028830442,4,4,1
Absent,12,1,Static,2,0.970840482983476,4,4,1
Absent,8,4,Static,2,0.650780696976653,4,4,1
Absent,8,3,Static,2,0.810812473268015,4,4,1
Present,12,3,Static,1,0.520816606742301,4,4,1
Present,16,2,Static,1,0.57078530929175,4,4,1
Absent,16,3,Static,2,1.03086888232428,4,4,1
Absent,16,1,Static,2,0.940831530688229,4,4,1
Absent,12,4,Static,2,1.81103134089062,4,4,1
Absent,8,4,Static,2,0.730801544790666,4,4,1
Present,16,3,Static,1,1.02081518759405,4,4,1
Present,8,3,Static,1,0.510756122353996,4,4,1
Absent,16,4,Static,2,1.17086006001409,4,4,1
Present,16,3,Static,1,0.8508120432125,4,4,1
Absent,16,2,Static,2,1.12087943086954,4,4,1
Absent,16,3,Static,2,1.37087834153135,4,4,1
Present,8,3,Static,1,0.750840544804305,4,4,1
Present,12,1,Static,1,1.11087700157623,4,4,1
Absent,12,2,Static,2,1.13084679179519,4,4,1
Absent,8,1,Static,2,0.670824180320778,4,4,1
Present,8,4,Static,1,0.690803466170109,4,4,1
Absent,12,1,Static,2,1.00080107363283,4,4,1
Present,12,1,Static,2,0.830792921969987,4,4,0
Absent,12,3,Static,2,1.75092124846196,4,4,1
Absent,8,2,Static,2,0.860806627928469,4,4,1
Absent,16,1,Static,2,1.52091777828173,4,4,1
Present,12,4,Static,1,0.680758131615221,4,4,1
Present,8,4,Static,1,1.21093165131788,4,4,1
Present,12,4,Static,1,0.910833372874549,4,4,1
Present,16,1,Static,1,0.760791971302751,4,4,1
Absent,12,3,Static,2,1.10087499565452,4,4,1
Absent,8,1,Static,2,1.29088524446524,4,4,1
Present,8,2,Static,1,0.590794004623604,4,4,1
Present,16,4,Static,1,0.690790223681688,4,4,1
Absent,12,4,Static,2,1.13089930796923,4,4,1
Present,8,1,Static,1,0.680806287426094,4,4,1
Present,16,4,Static,1,0.950883609455559,4,4,1
Present,8,1,Static,1,0.510776572524264,4,4,1
Absent,12,2,Static,2,1.19091417444179,4,4,1
Absent,16,4,Static,2,1.79091237770081,4,4,1
Absent,8,3,Static,2,1.64097366539318,4,4,1
Absent,8,3,Static,2,1.00086890270723,4,4,1
Absent,16,4,Static,2,1.37092307126841,4,4,1
Absent,16,3,Static,2,1.38086664884577,4,4,1
Absent,16,2,Static,2,1.42093237576046,4,4,1
Present,12,2,Static,1,0.780798719524682,4,4,1
Present,16,3,Static,1,0.920851442873754,4,4,1
Present,12,4,Static,1,0.850855379196219,4,4,1
Present,16,4,Static,1,0.780788421927355,4,4,1
Absent,16,4,Static,2,1.19087297336046,4,4,1
Absent,12,2,Static,2,1.00086624351752,4,4,1
Present,12,4,Static,1,0.850816554278936,4,4,1
Present,8,2,Static,1,0.750822004316433,4,4,1
Present,16,4,Static,1,0.810792674696131,4,4,1
Absent,16,1,Static,2,1.31091429974913,4,4,1
Absent,12,4,Static,2,1.49091291368313,4,4,1
Absent,8,2,Static,2,0.92083862409163,4,4,1
Present,8,2,Static,1,0.740812890959205,4,4,1
Absent,8,1,Static,2,1.19086667023112,4,4,1
Absent,16,3,Static,2,1.48096865977823,4,4,1
Present,8,1,Static,1,0.750866881749971,4,4,1
Present,12,1,Static,1,0.910848279445418,4,4,1
Present,16,3,Static,1,0.810789795297751,4,4,1
Present,12,3,Static,1,0.590670677060189,4,4,1
Absent,12,1,Static,2,0.970794374532488,4,4,1
Present,16,2,Static,1,1.19084929025848,4,4,1
Present,16,1,Static,1,1.41087107938256,4,4,1
Absent,8,4,Static,2,0.830796397829545,4,4,1
Present,8,3,Static,1,0.840864490884996,4,4,1
Absent,12,3,Static,2,1.55092871244051,4,4,1
Present,12,3,Static,1,0.67080248977436,4,4,1
Present,12,1,Static,1,1.19085808182717,4,4,1
Absent,12,3,Static,2,1.02086169168433,4,4,1
Present,8,3,Static,1,0.780806932007181,4,4,1
Absent,12,1,Static,2,1.49092522922911,4,4,1
Present,16,2,Static,1,0.980813422263964,4,4,1
Absent,8,4,Static,2,0.690825141680762,4,4,1
Present,16,1,Static,1,1.03086452697244,4,4,1
Present,8,1,Static,1,0.800824148578613,4,4,1
Present,8,4,Static,1,1.06081715809341,4,4,1
Absent,8,1,Static,2,1.01084254871967,4,4,1
Absent,16,1,Static,2,1.7009192168116,4,4,1
Absent,8,2,Static,2,0.870823760960775,4,4,1
Absent,12,4,Static,2,1.26090716557883,4,4,1
Absent,12,2,Static,2,1.4509096850943,4,4,1
Present,12,2,Static,1,0.650806425095652,4,4,1
Absent,16,2,Static,2,1.22082617120759,4,4,1
Present,8,4,Static,1,0.820894830985708,4,4,1
Present,12,4,Dynamic,1,0.900834610243692,4,4,1
Present,16,3,Dynamic,1,0.830805119559955,4,4,1
Absent,12,3,Dynamic,2,1.0708593399122,4,4,1
Absent,16,1,Dynamic,2,1.5809045334554,4,4,1
Absent,12,4,Dynamic,1,0.830824566937736,4,4,0
Present,16,4,Dynamic,1,1.78097615817387,4,4,1
Absent,16,2,Dynamic,2,1.2408462120402,4,4,1
Present,16,1,Dynamic,1,2.03096332769746,4,4,1
Present,8,4,Dynamic,1,0.660755658882408,4,4,1
Present,16,3,Dynamic,1,0.580757441590322,4,4,1
Absent,16,4,Dynamic,2,1.45089774814187,4,4,1
Absent,8,3,Dynamic,2,0.92079536563142,4,4,1
Absent,12,3,Dynamic,2,1.62088408896489,4,4,1
Present,16,2,Dynamic,1,0.8708595561111,4,4,1
Absent,12,2,Dynamic,2,1.14088614901993,4,4,1
Absent,8,1,Dynamic,2,1.16087954214345,4,4,1
Present,12,3,Dynamic,1,0.930857523791929,4,4,1
Present,16,2,Dynamic,1,1.13085929747649,4,4,1
Present,12,4,Dynamic,1,0.720778289403825,4,4,1
Present,12,1,Dynamic,1,0.790818080356985,4,4,1
Absent,16,3,Dynamic,2,2.11103899500085,4,4,1
Present,12,1,Dynamic,1,2.2309980545615,4,4,1
Absent,12,1,Dynamic,2,1.38090525856933,4,4,1
Present,8,1,Dynamic,1,1.33085763506642,4,4,1
Present,12,3,Dynamic,1,1.02082827703998,4,4,1
Absent,16,4,Dynamic,1,3.38117181384951,4,4,0
Absent,12,2,Dynamic,1,2.25101944370181,4,4,0
Present,12,2,Dynamic,1,1.78091870722892,4,4,1
Absent,8,1,Dynamic,2,1.47093515157212,4,4,1
Absent,8,2,Dynamic,2,1.2609081028786,4,4,1
Absent,8,4,Dynamic,2,1.57094883347054,4,4,1
Absent,16,3,Dynamic,2,2.61106880714033,4,4,1
Present,8,4,Dynamic,1,1.27091215883047,4,4,1
Absent,16,1,Dynamic,2,1.99101562500073,4,4,1
Present,8,3,Dynamic,1,0.920841388540794,4,4,1
Absent,12,1,Dynamic,1,1.09082767890504,4,4,0
Present,16,1,Dynamic,1,0.970853376951709,4,4,1
Absent,16,2,Dynamic,2,2.42103485050029,4,4,1
Present,8,2,Dynamic,1,1.4308928571445,4,4,1
Present,8,1,Dynamic,1,0.990827735711719,4,4,1
Absent,8,4,Dynamic,2,1.17090448901217,4,4,1
Present,16,4,Dynamic,1,2.11097208819047,4,4,1
Absent,8,2,Dynamic,2,2.17098232330136,4,4,1
Present,8,3,Dynamic,1,2.22101542885139,4,4,1
Absent,8,3,Dynamic,2,1.35085640370926,4,4,1
Absent,12,4,Dynamic,2,1.81092612542852,4,4,1
Present,8,2,Dynamic,1,0.930842784964625,4,4,1
Present,12,2,Dynamic,1,0.950796738998179,4,4,1
Absent,8,3,Dynamic,2,1.83095837855581,4,4,1
Present,8,1,Dynamic,1,0.610808421661204,4,4,1
Present,12,1,Dynamic,1,0.590826251402177,4,4,1
Absent,12,1,Dynamic,2,1.15087508754732,4,4,1
Absent,8,3,Dynamic,2,0.960842772601609,4,4,1
Absent,16,4,Dynamic,2,1.37087896038247,4,4,1
Present,8,2,Dynamic,1,0.730818624359017,4,4,1
Absent,16,2,Dynamic,2,1.30091513847219,4,4,1
Present,12,3,Dynamic,1,1.44088922924129,4,4,1
Present,8,3,Dynamic,1,1.18086023878641,4,4,1
Absent,16,1,Dynamic,2,1.62093664055828,4,4,1
Present,12,4,Dynamic,1,2.29104621504666,4,4,1
Present,8,1,Dynamic,1,0.620835812193036,4,4,1
Absent,12,2,Dynamic,2,1.68092761575099,4,4,1
Present,16,1,Dynamic,1,1.5109557330652,4,4,1
Absent,12,2,Dynamic,2,1.35088851983528,4,4,1
Present,8,4,Dynamic,1,0.790839011709977,4,4,1
Present,12,1,Dynamic,2,2.00102734942993,4,4,0
Present,12,2,Dynamic,1,1.78094794128265,4,4,1
Present,16,4,Dynamic,1,2.19101937586856,4,4,1
Absent,12,3,Dynamic,2,1.78097890491335,4,4,1
Present,12,2,Dynamic,2,0.900849541874777,4,4,0
Present,8,4,Dynamic,1,0.780783509877438,4,4,1
Absent,12,4,Dynamic,2,2.34102873616575,4,4,1
Absent,16,2,Dynamic,2,2.48107071582308,4,4,1
Absent,12,4,Dynamic,1,1.16090156851533,4,4,0
Absent,8,2,Dynamic,2,1.37088521840269,4,4,1
Absent,16,1,Dynamic,2,2.70111621344404,4,4,1
Present,12,4,Dynamic,1,0.760775636226754,4,4,1
Present,16,1,Dynamic,1,1.29088899332965,4,4,1
Present,16,4,Dynamic,1,0.670824698929209,4,4,1
Absent,8,4,Dynamic,2,1.28094167457493,4,4,1
Absent,8,2,Dynamic,2,1.37087615115706,4,4,1
Absent,12,3,Dynamic,2,0.970854868277456,4,4,1
Present,16,2,Dynamic,1,0.80084516246643,4,4,1
Absent,16,3,Dynamic,2,1.00085310628856,4,4,1
Absent,8,1,Dynamic,2,1.12084667283671,4,4,1
Present,8,3,Dynamic,1,0.820888299962462,4,4,1
Absent,8,4,Dynamic,2,1.21087349397203,4,4,1
Present,16,3,Dynamic,1,0.870885206706589,4,4,1
Present,16,3,Dynamic,1,1.21085391326778,4,4,1
Absent,16,3,Dynamic,1,1.34090507712244,4,4,0
Absent,16,4,Dynamic,2,2.81105676192237,4,4,1
Absent,12,1,Dynamic,2,1.07085163601369,4,4,1
Absent,8,1,Dynamic,2,1.16083260432242,4,4,1
Present,12,3,Dynamic,1,1.3010179507055,4,4,1
Present,8,2,Dynamic,1,1.15082416027326,4,4,1
Present,16,2,Dynamic,1,0.660776101367446,4,4,1
Present,8,3,Static,1,1.2508512724562,4,4,1
Present,8,4,Static,1,0.750828630574688,4,4,1
Present,8,2,Static,1,0.900873643338855,4,4,1
Absent,12,1,Static,2,1.00084561557742,4,4,1
Present,12,2,Static,1,0.800897323100799,4,4,1
Present,16,1,Static,1,0.800832236085625,4,4,1
Absent,8,3,Static,2,1.04086895082582,4,4,1
Present,16,4,Static,1,1.30089863297871,4,4,1
Present,16,3,Static,1,1.19086213677474,4,4,1
Absent,8,4,Static,2,0.950828173452464,4,4,1
Absent,16,4,Static,2,1.27084788848515,4,4,1
Absent,8,4,Static,2,1.18082384449735,4,4,1
Absent,16,4,Static,2,1.20087785099531,4,4,1
Present,16,3,Static,1,0.770785070371858,4,4,1
Absent,16,3,Static,2,0.890805663228093,4,4,1
Present,16,1,Static,1,0.960806791998039,4,4,1
Absent,12,4,Static,2,1.03083543560206,4,4,1
Present,16,2,Static,1,0.860799427930033,4,4,1
Absent,12,1,Static,2,0.890866477424424,4,4,1
Present,12,3,Static,1,0.830864352210483,4,4,1
Absent,12,2,Static,2,1.19087465248049,4,4,1
Present,12,2,Static,1,0.600805676593154,4,4,1
Present,12,1,Static,1,0.670797259275787,4,4,1
Present,12,3,Static,1,0.730805840328685,4,4,1
Present,8,1,Static,1,0.520840608292929,4,4,1
Present,12,4,Static,1,0.620845485924292,4,4,1
Absent,16,1,Static,2,1.17089173505701,4,4,1
Absent,12,3,Static,2,0.890823148458367,4,4,1
Absent,16,3,Static,2,0.81083985544501,4,4,1
Present,16,4,Static,1,0.850908645210438,4,4,1
Absent,8,2,Static,2,1.17086298218237,4,4,1
Absent,8,3,Static,2,1.38088536476243,4,4,1
Absent,8,1,Static,2,1.3108480248211,4,4,1
Absent,8,2,Static,2,0.720782973561654,4,4,1
Present,8,1,Static,2,0.850802484428641,4,4,0
Absent,12,4,Static,2,1.08082229503088,4,4,1
Present,8,3,Static,1,0.690812352971989,4,4,1
Absent,8,1,Static,2,0.770785375789274,4,4,1
Absent,12,2,Static,2,0.760804817819007,4,4,1
Absent,16,2,Static,2,1.11087014475561,4,4,1
Absent,16,1,Static,2,2.00094682955569,4,4,1
Present,12,4,Static,1,0.890869690307227,4,4,1
Present,8,4,Static,1,0.69080538320668,4,4,1
Absent,12,3,Static,2,1.2808642546388,4,4,1
Present,12,1,Static,1,1.00085138439681,4,4,1
Present,8,2,Static,1,0.730775603480652,4,4,1
Present,16,2,Static,1,0.890829962841963,4,4,1
Absent,16,2,Static,2,2.08097126116081,4,4,1
Present,12,1,Dynamic,1,1.48088010753054,4,4,1
Absent,12,1,Dynamic,2,2.41102251423399,4,4,1
Absent,12,4,Dynamic,2,1.8409441673557,4,4,1
Present,12,4,Dynamic,1,0.530780832308665,4,4,1
Present,16,4,Dynamic,1,0.940784099322627,4,4,1
Absent,12,3,Dynamic,2,1.37088908789519,4,4,1
Present,12,2,Dynamic,1,0.930808298026022,4,4,1
Present,16,1,Dynamic,1,1.22087330918657,4,4,1
Absent,12,2,Dynamic,2,1.6708892255665,4,4,1
Present,8,2,Dynamic,1,0.540785742688968,4,4,1
Absent,8,4,Dynamic,2,1.18089738257913,4,4,1
Present,16,3,Dynamic,1,1.11087457295253,4,4,1
Absent,12,3,Dynamic,2,1.38090075485161,4,4,1
Absent,12,4,Dynamic,2,1.02084291294705,4,4,1
Present,16,2,Dynamic,1,0.650797084848818,4,4,1
Present,8,2,Dynamic,1,0.650827927849605,4,4,1
Present,16,2,Dynamic,1,1.38084594538486,4,4,1
Absent,16,2,Dynamic,2,2.07098824683089,4,4,1
Present,12,4,Dynamic,1,0.750821134517537,4,4,1
Present,8,3,Dynamic,1,0.850808973014864,4,4,1
Absent,8,1,Dynamic,2,1.20085295758872,4,4,1
Absent,8,2,Dynamic,2,1.11086205758147,4,4,1
Present,12,1,Dynamic,1,1.2709377740066,4,4,1
Present,12,2,Dynamic,1,0.600792589486446,4,4,1
Absent,8,4,Dynamic,2,1.31088828091561,4,4,1
Absent,16,2,Dynamic,2,1.56092254063333,4,4,1
Present,8,4,Dynamic,1,0.530806635613772,4,4,1
Present,8,4,Dynamic,1,0.70082788207219,4,4,1
Absent,16,1,Dynamic,2,0.720849679546518,4,4,1
Absent,16,1,Dynamic,2,1.13085839760242,4,4,1
Present,16,4,Dynamic,1,1.27086988745759,4,4,1
Present,8,1,Dynamic,1,0.68081709627586,4,4,1
Present,8,3,Dynamic,1,0.760831059866177,4,4,1
Absent,16,3,Dynamic,2,1.16086532960981,4,4,1
Absent,12,1,Dynamic,1,0.920853084566261,4,4,0
Present,12,3,Dynamic,1,1.26087038033438,4,4,1
Absent,8,3,Dynamic,2,1.10089418272764,4,4,1
Absent,8,2,Dynamic,2,1.56091074937103,4,4,1
Present,12,3,Dynamic,1,0.870807738987423,4,4,1
Present,16,3,Dynamic,2,3.60124897147762,4,4,0
Present,16,1,Dynamic,1,0.950859417436732,4,4,1
Absent,16,4,Dynamic,2,2.07091782172211,4,4,1
Present,8,1,Dynamic,1,0.560793478334745,4,4,1
Absent,8,3,Dynamic,2,1.26096683697324,4,4,1
Absent,16,4,Dynamic,1,1.27084857517184,4,4,0
Absent,8,1,Dynamic,2,1.17088025689736,4,4,1
Absent,12,2,Dynamic,2,1.38087950772569,4,4,1
Absent,16,3,Dynamic,2,1.12092473935991,4,4,1
Present,12,4,Dynamic,1,0.840811540982031,4,4,1
Present,8,1,Dynamic,1,0.770764805323779,4,4,1
Absent,16,3,Dynamic,2,1.30088900435658,4,4,1
Absent,16,3,Dynamic,2,1.90091975747055,4,4,1
Absent,8,1,Dynamic,2,1.28092185060814,4,4,1
Absent,16,4,Dynamic,2,1.83098302903272,4,4,1
Present,16,4,Dynamic,1,1.54090055001507,4,4,1
Present,16,2,Dynamic,1,0.970869990376741,4,4,1
Absent,16,2,Dynamic,1,0.99083197377513,4,4,0
Absent,12,1,Dynamic,2,1.40092487302172,4,4,1
Absent,16,2,Dynamic,2,1.82104413594607,4,4,1
Absent,12,2,Dynamic,2,1.82092815874967,4,4,1
Absent,16,4,Dynamic,2,1.28088480505539,4,4,1
Absent,8,1,Dynamic,2,0.990834712829383,4,4,1
Present,16,1,Dynamic,1,0.610814378944269,4,4,1
Present,16,2,Dynamic,1,0.870851383728223,4,4,1
Present,8,2,Dynamic,1,1.19086958270964,4,4,1
Present,12,1,Dynamic,1,0.540797137979098,4,4,1
Present,16,4,Dynamic,1,1.07085597165133,4,4,1
Absent,12,4,Dynamic,2,1.58093582255242,4,4,1
Present,12,1,Dynamic,1,0.720792486901701,4,4,1
Absent,16,1,Dynamic,2,1.12083452570369,4,4,1
Present,8,1,Dynamic,1,0.73080937132363,4,4,1
Present,16,3,Dynamic,1,0.640779573219334,4,4,1
Present,16,3,Dynamic,1,0.680826667090514,4,4,1
Absent,8,2,Dynamic,2,0.740777729695765,4,4,1
Present,12,4,Dynamic,1,1.08091948313267,4,4,1
Present,8,4,Dynamic,2,1.88092525429056,4,4,0
Absent,8,4,Dynamic,2,1.17109112923754,4,4,1
Absent,12,3,Dynamic,2,1.46089297977778,4,4,1
Absent,8,4,Dynamic,2,1.40088826855208,4,4,1
Absent,8,3,Dynamic,2,1.26089324877103,4,4,1
Absent,12,3,Dynamic,2,2.34100928611588,4,4,1
Present,16,1,Dynamic,1,1.54091719618737,4,4,1
Present,8,3,Dynamic,1,0.770809440160519,4,4,1
Absent,16,1,Dynamic,2,1.47092695680112,4,4,1
Absent,8,3,Dynamic,2,1.89096734822851,4,4,1
Present,12,3,Dynamic,1,0.660805185387289,4,4,1
Present,12,2,Dynamic,1,0.740852728693426,4,4,1
Present,12,3,Dynamic,1,1.67092451982171,4,4,1
Absent,8,2,Dynamic,2,0.930809252698964,4,4,1
Absent,12,2,Dynamic,2,1.63090496351106,4,4,1
Present,8,4,Dynamic,1,0.680796621043555,4,4,1
Present,8,3,Dynamic,1,0.590780338430704,4,4,1
Present,12,2,Dynamic,2,2.32124914790984,4,4,0
Absent,12,1,Dynamic,2,1.88101918941175,4,4,1
Present,8,2,Dynamic,1,1.29086397194442,4,4,1
Absent,12,4,Dynamic,2,2.5710507822514,4,4,1
Present,8,1,Static,1,0.630780652534668,4,4,1
Present,8,2,Static,1,0.690786960676633,4,4,1
Absent,8,1,Static,2,0.620776667090468,4,4,1
Absent,16,1,Static,2,1.06088710737095,4,4,1
Present,12,4,Static,1,0.800831837441365,4,4,1
Absent,16,2,Static,2,1.0209303598167,4,4,1
Absent,8,3,Static,2,0.680813535205743,4,4,1
Present,8,3,Static,1,0.700789968723257,4,4,1
Absent,16,3,Static,2,0.710819675268795,4,4,1
Absent,8,1,Static,2,1.06084286850455,4,4,1
Present,16,3,Static,1,0.830839025074965,4,4,1
Absent,8,2,Static,2,0.660799100460281,4,4,1
Present,16,2,Static,1,0.640786718415256,4,4,1
Present,12,2,Static,1,0.970841375174132,4,4,1
Present,8,4,Static,1,0.640788675549629,4,4,1
Absent,16,1,Static,2,0.89086400636188,4,4,1
Absent,16,2,Static,2,1.24085924635074,4,4,1
Present,8,2,Static,1,0.650817181485763,4,4,1
Present,16,2,Static,1,0.610813381161279,4,4,1
Absent,12,2,Static,2,0.95083028596855,4,4,1
Absent,12,1,Static,2,1.09085853961733,4,4,1
Absent,12,3,Static,2,0.880831691416461,4,4,1
Present,16,4,Static,1,0.660833534939229,4,4,1
Absent,12,4,Static,2,1.31084943060341,4,4,1
Present,8,1,Static,1,1.41088119419692,4,4,1
Absent,8,4,Static,2,0.930833053758761,4,4,1
Absent,8,2,Static,2,0.770823669736274,4,4,1
Present,12,3,Static,1,0.830875191470113,4,4,1
Absent,12,2,Static,2,1.61093761695338,4,4,1
Absent,16,4,Static,2,0.820791236834339,4,4,1
Present,8,4,Static,1,0.630823708164826,4,4,1
Absent,8,3,Static,2,0.920850808985051,4,4,1
Present,16,1,Static,1,0.680803134689995,4,4,1
Absent,12,1,Static,2,1.0908436958689,4,4,1
Present,16,3,Static,1,0.780803157747869,4,4,1
Absent,8,4,Static,2,0.940873333578566,4,4,1
Present,8,3,Static,1,0.600764585784418,4,4,1
Present,12,2,Static,1,0.520730327403726,4,4,1
Absent,12,3,Static,2,1.01087018151338,4,4,1
Absent,16,3,Static,2,1.18083040058264,4,4,1
Present,12,1,Static,1,0.740829481661422,4,4,1
Present,12,1,Static,2,0.710780842333406,4,4,0
Present,16,1,Static,1,0.960862801741314,4,4,1
Present,12,3,Static,1,0.670835069704481,4,4,1
Present,16,4,Static,1,1.11088258293785,4,4,1
Present,12,4,Static,1,0.990875202161988,4,4,1
Absent,12,4,Static,2,0.880822168051964,4,4,1
Absent,16,4,Static,2,1.53093312426427,4,4,1
Present,16,4,Static,1,0.990811741472498,4,4,1
Present,8,1,Static,1,0.630765731260908,4,4,1
Absent,8,2,Static,2,0.930811824342527,4,4,1
Absent,16,2,Static,2,1.1108631950392,4,4,1
Present,8,4,Static,1,0.520803030767638,4,4,1
Absent,12,4,Static,2,0.870818788762335,4,4,1
Absent,8,2,Static,2,0.710792746538573,4,4,1
Present,12,1,Static,1,1.07085724711214,4,4,1
Absent,16,4,Static,2,1.30089111954658,4,4,1
Present,12,2,Static,1,0.630799017922982,4,4,1
Present,12,4,Static,1,0.880826904673086,4,4,1
Absent,16,1,Static,2,0.970828160085148,4,4,1
Present,16,2,Static,1,0.620778326161599,4,4,1
Absent,12,1,Static,2,1.12086398297106,4,4,1
Present,16,2,Static,1,0.540774417235298,4,4,1
Present,16,3,Static,1,1.19089665646243,4,4,1
Absent,16,2,Static,2,1.11088823413411,4,4,1
Absent,16,4,Static,2,1.26085126109501,4,4,1
Absent,12,4,Static,2,1.10085795418127,4,4,1
Present,16,1,Static,1,1.06084058322995,4,4,1
Absent,12,2,Static,2,1.33088681398294,4,4,1
Present,12,2,Static,1,0.580837896639423,4,4,1
Absent,8,4,Static,2,0.800825256295866,4,4,1
Present,8,3,Static,1,1.05085693234105,4,4,1
Present,16,4,Static,1,1.19085484154493,4,4,1
Present,8,4,Static,1,0.990809273083869,4,4,1
Present,8,2,Static,1,0.770886063141006,4,4,1
Absent,8,3,Static,2,0.740817108639021,4,4,1
Present,12,3,Static,1,0.810831301794678,4,4,1
Present,16,3,Static,1,0.770820143752644,4,4,1
Present,12,3,Static,1,0.820800309091283,4,4,1
Present,12,1,Static,1,0.900852604389001,4,4,1
Present,12,4,Static,1,0.56076743945232,4,4,1
Absent,16,3,Static,2,0.930849574288004,4,4,1
Absent,16,1,Static,2,1.13084420778978,4,4,1
Absent,8,3,Static,2,0.620816013621152,4,4,1
Absent,8,1,Static,2,0.7708538691586,4,4,1
Absent,12,3,Static,2,0.60079218582905,4,4,1
Absent,12,2,Static,2,0.940833350485264,4,4,1
Absent,12,1,Static,2,1.05084895009168,4,4,1
Present,8,2,Static,1,0.580778290071976,4,4,1
Absent,8,1,Static,2,0.750857869639731,4,4,1
Present,8,1,Static,1,0.64082585442884,4,4,1
Absent,16,3,Static,2,0.88082438582569,4,4,1
Absent,12,3,Static,2,0.770899029617794,4,4,1
Absent,8,4,Static,2,0.600838574970112,4,4,1
Present,16,1,Static,1,0.630810075050249,4,4,1
Present,8,3,Static,2,1.19086981795408,4,4,0
Present,8,4,Dynamic,1,1.0908683059115,4,4,1
Absent,16,1,Dynamic,2,1.73093674748816,4,4,1
Present,12,3,Dynamic,1,0.680863550243885,4,4,1
Present,8,4,Dynamic,1,0.710764527308129,4,4,1
Present,8,1,Dynamic,1,0.840832296900771,4,4,1
Present,16,3,Dynamic,1,0.860843014863349,4,4,1
Absent,8,1,Dynamic,2,0.990835332015195,4,4,1
Present,8,2,Dynamic,1,0.560853234936076,4,4,1
Absent,12,3,Dynamic,2,1.07083629838598,4,4,1
Absent,8,4,Dynamic,2,1.2808651217656,4,4,1
Present,16,2,Dynamic,1,1.09086268979991,4,4,1
Absent,16,2,Dynamic,2,1.03087966377461,4,4,1
Present,16,2,Dynamic,1,0.860922236888655,4,4,1
Present,16,1,Dynamic,2,1.68093152032816,4,4,0
Present,16,3,Dynamic,1,0.730783512884955,4,4,1
Absent,12,2,Dynamic,2,1.37091496872381,4,4,1
Absent,16,2,Dynamic,2,1.28084373930687,4,4,1
Absent,16,3,Dynamic,2,1.420929340984,4,4,1
Present,16,1,Dynamic,1,0.86084744573418,4,4,1
Present,12,4,Dynamic,1,1.57098137096364,4,4,1
Absent,12,1,Dynamic,2,1.33083176392756,4,4,1
Absent,16,4,Dynamic,1,1.41088627432691,4,4,0
Absent,8,2,Dynamic,2,1.68094175777878,4,4,1
Absent,8,1,Dynamic,2,1.27088278677002,4,4,1
Absent,12,4,Dynamic,2,1.63091722091667,4,4,1
Present,16,4,Dynamic,1,0.880820340902574,4,4,1
Present,8,3,Dynamic,1,1.22086712902274,4,4,1
Absent,8,4,Dynamic,2,0.960842557073192,4,4,1
Present,16,4,Dynamic,1,1.37090108733537,4,4,1
Absent,8,3,Dynamic,2,0.97084103166344,4,4,1
Absent,12,4,Dynamic,2,1.20086483907107,4,4,1
Absent,16,1,Dynamic,2,1.53086157372854,4,4,1
Absent,8,2,Dynamic,2,1.03084491352092,4,4,1
Present,12,1,Dynamic,1,0.530774516813835,4,4,1
Present,8,2,Dynamic,1,0.550786693354894,4,4,1
Absent,8,3,Dynamic,2,1.21088699442771,4,4,1
Present,8,3,Dynamic,1,0.730769303023408,4,4,1
Present,12,3,Dynamic,1,0.930804054949476,4,4,1
Present,12,2,Dynamic,1,1.12093655100398,4,4,1
Present,12,2,Dynamic,1,1.18085829133997,4,4,1
Absent,16,3,Dynamic,2,1.43089591698299,4,4,1
Absent,16,4,Dynamic,2,1.32086704715584,4,4,1
Present,8,1,Dynamic,1,0.620845541061499,4,4,1
Present,12,4,Dynamic,1,0.470830213456793,4,4,1
Absent,12,1,Dynamic,2,1.3009049758748,4,4,1
Absent,12,2,Dynamic,2,1.03085341437691,4,4,1
